feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,WB16A3C
2.4229162,0.9584159,-2.3470967,0.19644752,-0.21601462,1.0242171,-1.7200651,4
0.29128385,0.30397737,1.347472,2.3300948,0.68265927,-2.8819666,-0.3155978,1
-0.66635525,-1.1107843,-0.96583605,-1.7906556,-0.74443585,0.7617699,-0.91274905,4
1.2594684,-3.0877883,0.7360561,0.84913534,-0.95245904,-1.3703932,-1.8937029,3
-0.36690265,1.6492348,2.2908213,0.26209226,0.1325982,0.18141913,0.3386016,2
-1.1884624,0.43334368,-1.0981344,0.2844747,-1.1999123,-2.3093588,0.7829246,1
0.8743004,-2.7147353,-1.619563,0.15754178,0.12325624,-1.5238669,0.89501774,4
1.2357655,-0.59664524,-0.9850993,-0.7627641,3.7316432,0.18496889,0.61465573,2
4.593147,-3.4200935,-1.5942918,1.7739567,-1.1329315,1.5573924,2.4300244,2
-0.48513362,-0.34507504,-0.8862502,-0.5469262,-0.861765,-0.30131677,0.9093537,2
-0.17493361,-1.9218818,0.90250534,-1.2576709,-0.040000167,-1.3964978,1.5800653,4
-0.87735796,0.124099165,0.16991895,-0.3784014,0.8145778,0.18209961,-0.46932542,2
0.5552146,-0.8663873,-0.80920213,-0.34645236,1.2670377,0.7176851,0.3044139,2
0.76558036,1.5844456,-1.5937216,-0.71712357,1.0739458,0.5550539,-0.13559666,1
-0.1677407,-0.19597015,-0.6766115,0.29098132,1.5191194,0.14243431,0.07240313,1
-0.9818787,-0.018730626,-2.965889,-0.9457547,0.9203538,-0.7253374,-0.26879954,2
0.579435,-0.05765175,-0.3643927,-0.35164517,4.065446,1.8112693,0.16446196,1
-1.5662986,-0.893519,0.13544184,-2.6730623,0.11430125,-1.3227602,0.075088635,1
2.3453903,-0.14983317,0.89125735,1.2412276,0.16794737,-1.1141617,2.5211205,1
0.27688825,0.39478263,-0.47028255,0.5209328,-0.013120301,-0.114581645,0.6777452,3
-0.42654115,1.1211725,-0.26442873,-0.91613215,-0.049341362,0.18936881,0.72633195,2
-0.11584744,-0.10131947,0.6115645,0.13652499,-0.9514931,1.3023298,-0.2557998,3
-2.3560612,-0.73518497,0.38832676,-2.8890777,0.45498005,-1.2453035,-1.4069011,2
-1.5088903,-0.96866053,-1.8561472,-0.26744992,-0.1920253,0.7804677,2.3033001,9
-1.4233568,0.67985606,1.5389309,-1.7278363,1.5254976,-2.12321,-1.8637179,2
0.76718426,0.24607895,0.46309572,-1.7557602,0.12379457,-0.89194745,1.4549837,1
0.054960493,0.304055,0.37412757,0.7425105,0.77242786,-0.64701676,0.5026105,2
0.23182897,-1.3084396,0.08045675,-0.15501297,0.9684374,-0.070002094,-0.16677822,2
0.6012183,-2.5629654,-0.8422325,0.47188035,0.22133687,0.6985132,-0.33589384,4
-0.6919837,2.0972395,0.31591785,0.2731404,1.7842118,-0.0097855935,1.1918223,1
-2.1696427,1.3149711,1.5472159,-1.3285716,0.46020815,1.6652287,0.077579394,1
0.94362915,-1.8604265,-0.7175406,-0.37878835,-0.028685011,-1.2135434,-0.3056316,4
-0.5517866,0.8159757,0.61407685,-0.7033247,0.21399209,0.61984956,-2.4288669,2
-0.32234818,2.5506766,-0.8066675,-0.5899975,0.7622433,-1.3986329,1.797898,2
-1.9269038,-1.5984528,-2.207883,-2.6850796,-1.0699466,1.5368186,-1.9001688,3
0.9006128,-0.6296669,1.0048695,-0.53141963,0.6071219,-1.0570061,-2.710845,3
0.11699736,0.64296514,0.7472033,0.70218635,0.2644442,-2.7333508,-1.023861,3
-1.1387795,1.6090261,1.5280327,-1.0305089,2.8525374,-0.21193439,1.2292123,1
-1.0367906,1.5411602,1.0868912,0.87737095,0.9593294,1.6707294,-0.86282533,2
6.3697424,-0.691046,-3.0948646,-1.7843968,2.823821,-3.07452,-1.3731365,1
0.76735044,0.53632694,-2.3316584,0.91086936,-0.6495503,0.6380474,-0.19653705,5
1.5603149,-0.49898687,-0.11446251,-0.5227203,0.5095205,0.07095687,-0.89153785,3
0.2601496,-0.39101735,-2.6058097,0.50058836,0.52484864,1.6373667,-2.5641303,5
1.2619523,-0.15280573,0.21823119,0.29240555,-0.73041797,-1.4302156,0.5816112,1
-0.3971822,0.1092221,0.2748209,0.9051317,-0.27469903,0.6390237,1.4453977,1
0.82809454,0.20831475,1.0213822,-0.83715796,0.36658186,-0.40005755,0.1144259,2
-0.30246148,0.8071166,0.20131877,-0.18807536,-0.2153569,-0.53310186,-0.38768372,2
-0.73885286,0.2884746,0.7202904,0.7062297,-0.09300366,-0.47629505,1.1128367,1
-1.0980628,-0.20503865,0.2752402,1.3294286,-0.4697753,1.1138518,0.27573857,2
-1.8876023,0.08418893,-2.5402603,-0.6089305,0.39530456,1.1460478,-1.7928449,4
1.6835898,-2.4514723,-0.40157008,-0.2062122,2.0452123,0.5048545,3.2457988,2
-0.66247773,-0.5291391,-1.0607517,0.17531392,1.1492296,0.99003655,2.0536616,2
0.4818026,0.22994335,0.34116238,0.77480024,0.8699643,-2.0219972,0.04335471,1
-1.1884068,-1.4244217,-0.27267337,-0.049437366,0.17483044,-0.08155247,2.6858034,1
0.014827967,-0.45317844,0.17757912,-0.14670512,0.69539595,0.35010463,0.36005816,1
0.10867734,1.4963574,-1.4501555,-0.27299047,-0.29107702,0.54570967,1.4280008,1
-0.6078815,1.1129309,-0.5356423,1.4750854,-0.00074968114,0.76121294,0.29591218,1
-0.32346973,-1.1054813,0.3104962,1.1070169,0.08010115,0.1612777,-1.458754,4
-0.5296871,-1.1452551,0.22360627,3.112698,0.31657526,3.7116978,0.21437715,3
-1.9863123,1.505591,-1.7108873,0.41609558,-0.23767702,1.7513733,1.4936409,2
-2.2453413,0.07197738,-2.2714217,1.7049476,1.2295842,1.5744009,-2.1580937,2
0.42288703,0.9779941,1.4412323,-1.1948065,1.1962502,2.6367984,1.1580746,2
2.3443258,-0.42629138,-1.4412653,1.4146615,0.15614355,-0.54328716,-0.3617743,2
-0.13859637,-0.6604474,0.0015016124,-0.43213665,0.9946964,-0.55571896,-1.8635944,2
1.5520444,-0.678687,0.3732298,1.1673498,-0.5655324,-2.1718526,0.124378055,3
-1.1628879,0.54810756,0.5555735,0.4731299,0.91741437,-0.76727986,0.22698231,1
-0.5262031,-0.04172185,-0.672678,-0.8894759,-1.0096359,1.0318131,0.47811568,2
-1.619484,-1.0392077,-1.1890163,0.10146935,0.08832362,-0.22196499,-1.3191137,2
-0.052019484,-2.8759694,-0.26622158,-0.8320414,-0.8536107,-0.039791875,0.010467559,3
0.5309341,-0.23919627,-0.5473465,0.74009466,1.5550166,3.0066776,-0.32846385,2
-1.6323011,0.19344519,-0.73658186,-0.6040744,0.27190855,-1.0699408,-0.21044444,2
-0.267559,0.04266634,0.6522626,0.06794558,1.4271834,0.1156162,1.0191315,2
-1.2377716,0.078999534,1.4970646,0.8579447,0.054121863,-1.2526665,-1.2942054,2
-1.2213005,-0.2652935,-0.23010765,0.255949,0.88288623,1.0178899,1.7589902,2
-0.7474392,0.06419983,2.0762634,-1.2828691,-2.5386896,0.008826331,-1.3958254,4
0.16472076,-2.781671,-1.9203354,0.45815527,0.9038633,1.8784844,0.5137309,3
0.10848208,-1.57992,-0.9726088,-0.5931356,-0.63582975,-1.3504438,-0.080120906,4
-0.9363796,-1.952128,-1.6205065,-0.24290654,-0.72533244,-0.28328368,-0.7046155,2
-1.3458563,0.11767472,-0.508186,-1.4719508,-0.44694674,0.6948751,0.6621527,1
5.383823,-1.8395058,-4.3587584,1.9993165,-1.3197696,2.303469,0.32262638,5
-0.17184138,0.8500863,0.77082056,-2.4531586,-0.21576844,1.1437281,-1.8238028,2
-2.506918,0.69354075,-1.5202943,-1.1346008,-1.3019466,-0.9779865,0.6697002,2
-1.6518083,-0.39269054,-0.25722682,-2.1788046,-0.91886866,0.1509485,-0.48362276,2
-4.192577,-0.10133778,0.7500277,-1.8308433,-0.41055566,0.25710523,-0.62881815,2
-0.34082627,-0.41099614,-0.19057648,-0.5053223,-0.76574975,0.952961,-1.1407892,3
-0.26849613,-1.6919212,1.2091736,0.94432676,0.8698478,-1.0918323,0.57566816,4
-1.02901,0.3478525,0.43345475,-0.50971264,0.73067516,0.80586207,-0.6434377,2
-0.7098113,0.7975249,0.7167668,0.6436654,0.9959448,0.22777282,1.3247558,1
-1.1924781,-0.1933388,-0.6949288,0.113139525,-1.7886218,2.1021664,-1.9575142,4
0.27156997,-1.1450857,0.8594271,0.5099159,-0.7967324,-1.3154286,-1.0876367,4
-0.88062847,-1.0413269,0.6320593,-0.4235269,-0.3244747,2.302105,0.23045562,2
-0.26515052,-0.49149686,1.510179,1.2861646,-0.3922592,-0.6177454,-1.0789306,2
-0.5486181,-0.016599622,1.3289297,0.023540035,1.211771,0.34470597,0.81373477,2
0.42013085,1.7548784,-1.4488658,-1.1922956,-0.83982384,-1.4938906,-0.7495427,2
-0.90371984,-0.48062462,-0.68372136,-1.0839318,-0.9891101,0.18438365,-0.90430194,4
-0.9399029,0.89660394,0.74984956,-0.6974752,0.36586773,1.3027879,0.5794731,2
0.6798362,-0.4914734,0.49940598,-0.34792688,1.1345885,-0.50140667,0.2575395,4
0.7221401,-1.3542646,-0.08654392,0.8514551,-1.4929713,-1.6313162,0.9058096,2
0.75357115,0.04016796,-0.029504977,0.106153816,0.3272983,-0.98442435,-0.32690594,2
0.09574182,-1.3501065,-1.3943777,0.8296986,0.36820385,0.3288758,-0.45298138,5
-0.13501297,-1.5615621,-1.254846,-1.0744485,-1.1823803,-0.8548807,-0.38326195,5
5.481579,3.5099924,-3.2554362,-4.692484,-0.19601063,2.0675352,0.62714994,9
3.5058444,-0.5490843,-0.9718343,1.1254027,-0.625637,2.714941,3.7151344,9
-0.5754133,-0.29923114,-0.007850543,-0.88303,0.5092562,0.94781464,2.5958889,2
-2.4484353,1.488174,1.8386987,2.3499956,1.7168857,-0.1788118,0.69445634,2
-1.7209802,0.004710177,-2.7758896,-0.8677529,1.6544687,1.8253947,-0.91210306,2
0.030918587,-1.8131922,1.2824148,-0.007594414,1.3413985,0.5013125,0.17024612,2
-0.6782726,-0.3087344,-0.26897287,-0.4306089,1.948204,0.46213275,-0.42467967,2
-0.49639037,3.6845884,-1.5887963,-2.2261753,-0.0034857355,-0.09163731,1.3517233,1
-0.63363504,0.13680278,0.60036653,-0.7079485,1.5025864,1.1201856,0.86760825,1
0.47654566,-0.07712316,0.9021751,3.421059,0.44025072,-0.9879066,-0.474093,2
0.5048195,0.050722137,-0.18159573,-0.46196985,0.36718246,0.9652956,0.31161958,2
-1.0246379,1.5622135,0.2368665,-0.22923523,0.86083883,0.16236119,0.65401024,2
-0.7654662,1.5341475,-1.4620421,-0.39313427,2.9229312,1.538936,0.2702932,1
-0.3624837,0.596918,0.7678462,-0.24732268,2.2292752,0.16788621,-0.07603602,2
-1.1854595,0.48014972,0.6508992,-0.00039380044,0.43393803,-0.41570157,0.003453426,1
-0.4317587,-0.45718396,-0.7630152,-0.78381264,-0.6364369,0.38531938,0.16517478,2
0.39173037,1.7129604,-0.08775325,-0.7295095,1.0871308,-0.1833201,-0.41736436,1
1.2718412,-0.46387836,0.04839956,-0.5383221,0.56691927,-1.0023271,-1.1918386,3
1.923897,-0.66423196,-2.0016706,-1.5389335,0.70265055,-1.4754455,-1.0117452,2
-0.68455386,-0.15916486,-1.1511272,-0.55520535,0.3003186,-0.66056114,0.41976288,2
-0.46194664,-0.1871736,-0.26965213,1.742277,0.6246056,-0.77059704,-1.6231866,3
2.2405765,-1.7891392,-0.81017464,-0.5220092,2.5620098,-1.1792973,0.13198218,4
-1.192055,-1.4858383,-0.730758,0.33681116,-1.6114578,1.2145466,3.8496456,3
0.14534943,0.40174755,1.9599408,0.8092427,1.9141151,-0.5683828,0.54698485,1
-0.7223503,2.256431,0.18457122,-0.3164036,0.5286106,-1.1231595,0.7200153,1
0.057392906,1.9529246,-1.0300438,-0.83831793,2.2662737,-3.8622773,0.15806313,2
-0.026332283,-1.1199812,0.28039342,-0.22273642,0.43654642,0.48487544,0.35185146,3
-0.041703593,1.316396,2.06867,-0.7280472,2.1035676,-0.7292619,1.7362438,1
0.8315616,-0.69041055,0.03187889,0.033915732,0.82953894,1.1027561,-1.451972,2
0.18599148,0.038485512,-0.19704793,0.882494,0.9447287,1.4338596,-0.26642415,2
-0.1352722,1.6708617,0.28394443,-0.9816671,1.0966327,0.6847816,0.2264647,1
0.00728124,-1.7215115,-0.32474655,0.39949855,1.2445765,-0.7814641,-1.2632213,3
-1.2460282,0.17087547,1.082948,0.17941998,0.7812344,-0.03895079,0.29182822,1
0.081612214,0.37521753,-0.99744844,-0.977982,-0.10697813,0.19797197,0.5436423,2
0.047298867,-0.34123173,0.4376415,-0.08318802,1.1096712,0.11610171,-0.4430192,2
0.4933019,-1.1143051,-1.1737946,-2.289309,0.20706294,-1.9199188,0.16760808,3
-0.85678655,-0.3434648,0.351169,-1.1744173,0.5886377,-1.9771171,0.61900795,4
-0.7535473,0.08183477,0.2806386,0.28098068,0.4550618,0.2578175,-0.31214544,2
-0.25512186,-3.4577546,0.7079883,-4.802217,0.50749743,-1.4399697,0.9575935,2
-0.9554188,-1.0999513,-0.7817215,-1.5760651,1.2378995,0.46209458,-1.2507823,2
-1.6865585,-0.040053714,-0.40372676,-0.07702615,-0.94641834,0.7756297,2.0066335,1
-1.3412971,-1.1886296,-1.1158669,-1.0878798,-2.071556,-0.8069329,-1.4037608,5
0.72902215,0.13259551,-0.61341053,-0.7540747,0.18369828,0.90966904,0.41550317,1
6.240857,4.7698708,-2.9736464,-4.2618093,1.7461445,-4.0330267,-0.026163949,2
-0.83714217,-1.5433882,-1.0465608,-0.11728332,-2.043714,-1.2816138,0.7163611,4
-1.1492405,-0.71545506,0.75732255,0.8941084,2.623506,-0.11383574,1.1182449,1
-0.28121677,-0.7709633,-0.649496,0.4791691,-0.2082846,0.43660733,-0.58207333,5
-2.9238951,-0.27239573,1.589691,0.5124771,1.3260567,0.93382394,0.037097123,2
-2.1482804,-1.722935,-1.0520474,0.8999205,0.10245769,1.5723464,0.14077765,2
0.5741967,-3.273176,1.3286033,-0.99954194,1.1176711,-1.0279052,0.28374064,3
-1.5510995,-0.30869034,-1.6584603,0.61499935,1.0117962,0.4834138,1.5299746,1
2.442248,-4.474603,0.9179711,2.00655,0.085773155,2.5118375,-0.024991896,2
-1.0566401,-0.03895924,-0.6512166,-3.3081434,0.735662,2.1095495,1.7174268,1
0.40142903,0.07150782,0.06392595,0.5759909,0.9750806,0.929609,0.35648707,1
0.2482421,-0.7921516,-0.034342587,0.34048045,1.167788,0.29843724,1.4824516,1
-0.6243298,0.77117133,-0.33327764,-0.3795438,0.2385262,-0.05231493,1.0445839,1
-1.509791,0.17207818,0.1890346,-0.20517254,-0.49843237,0.79465264,0.3444219,2
-0.02014348,-0.07197016,0.39138728,-0.85543424,1.0052868,0.2865293,0.0138475895,2
-1.0163635,-0.7104924,-2.4063604,-1.0478405,-0.39299172,-0.8771925,0.11694452,2
-0.6467833,0.60895383,0.81654644,0.76795536,0.5200797,-0.3139288,0.7335015,1
-1.4478322,1.5073138,-1.9724593,-1.4348779,0.40133026,1.2814655,0.94671804,1
-0.08176018,-0.9269785,1.6442481,0.23107374,0.9758539,1.7879772,0.6012353,1
-1.057308,1.9426262,-0.3354696,-1.4763234,-0.106368676,0.03319947,-0.29646975,2
3.7294571,-4.411469,-1.3676754,1.9238508,0.7484203,0.9753173,-0.5679666,3
-0.6782313,0.4177254,0.35432166,-0.06192199,2.6570761,-3.023607,0.58763194,1
-1.2063912,1.5729909,-0.84194523,-1.8203199,-0.6897311,-0.3448421,0.4742139,2
0.45172226,0.9941629,-0.35731494,0.9517097,0.10522406,-1.6221148,1.922776,1
-0.21293189,0.5137019,0.15229347,0.6996432,-0.22004308,-1.1810114,0.7563475,2
0.3934487,0.17446792,-0.35344028,0.959776,-0.5316177,0.18007277,1.9555984,1
0.505114,-0.46730873,-0.0020271018,-0.0949469,2.3657796,-0.38805088,0.5653914,2
0.39682248,-2.566109,-0.7061941,-1.7186817,-2.2357526,-3.33437,1.0711728,2
-0.2968441,0.37010598,1.5390927,1.4887402,0.44954547,-0.86114836,-0.5233349,2
-0.087469056,-0.7589495,-1.6520426,-1.034595,-0.07812297,-1.2678957,-1.9811571,4
-0.7128037,0.41150272,1.4722531,-1.408225,1.5451372,-0.36061555,0.97081786,1
-0.5267292,1.1022243,-0.36014247,-1.55787,0.71080554,1.1381463,0.82413644,1
-0.5205507,-0.28643477,-1.7365245,-1.0619332,-0.47296867,-1.839033,0.44136205,2
-0.27691814,-0.23541561,-2.0292747,-1.4250046,-0.3642334,-0.19463103,-0.23030491,2
-1.2431608,0.03593469,0.5086367,-0.7114916,-0.21520357,-1.3347788,0.17421949,1
-0.7755968,0.7012879,0.55802304,-1.0102905,1.2045606,-0.2155573,-0.013147067,1
-1.1187494,-0.65582275,-1.3771358,-2.4395325,1.3451015,-0.83618724,-3.2121222,3
0.79638314,-0.24974096,-0.15194169,0.046484,0.72280955,-1.3065497,0.48659724,2
-1.6112777,-1.1212596,-0.66176236,0.3619239,0.48518103,0.32861507,1.4210712,1
-0.15523891,0.3604203,-0.65667,-0.9132717,1.2120682,1.1014262,-0.15415742,1
-0.81087995,-0.42408475,-0.6733497,-1.1753577,1.1337148,2.0178144,1.1505705,2
-0.5162925,0.57551616,1.3992473,2.4853578,0.24921139,1.8021932,-0.020839313,1
-0.6639119,-0.56470126,-0.008847773,-0.7811125,0.6126386,1.8971006,0.1041428,2
3.6472657,-2.6559696,-3.4366736,-1.5130134,-2.9913244,2.0553622,4.878077,2
9.652165,-2.3542721,-4.8384895,-3.574393,-0.6572185,5.170237,6.289628,2
-1.3998454,1.199007,0.18910182,-0.11596171,0.71203256,-0.85103375,0.802343,1
-1.220032,1.0290629,0.44412524,0.7944011,-0.039859448,-1.5204582,0.7608711,1
0.19335602,-0.9385728,-0.63119465,-0.37299737,0.2583756,-0.39408386,-2.0574646,4
-2.2979152,0.22170402,0.275491,-0.3511516,0.37353936,0.19647194,-0.35594332,1
0.72937,-0.46832013,-3.0617142,0.67298794,-3.2050185,2.6600919,2.1184466,1
0.84124255,0.21743567,0.50998884,-0.21788388,1.3839457,0.34360215,0.3331359,1
2.3799584,1.3111508,-2.8860478,0.07308335,0.66979146,0.92405087,1.6397561,1
2.5694227,3.264937,-0.9831089,-3.670879,1.6875951,0.72641534,0.025577862,2
-0.21786459,0.2067914,1.9711291,0.2413694,0.8591329,-1.5741265,-0.8375546,2
-1.8433573,-0.022300454,-0.46786463,0.39949742,-0.29490295,-0.5853679,0.6955786,2
-0.5748022,0.29797482,1.4361143,-0.6086629,1.0736922,-0.4437157,1.2192727,2
-0.55200547,0.10605258,1.277376,0.0020590127,1.762901,0.054635726,1.3514428,1
-0.20107694,0.027671408,-0.65628713,-1.5520258,-0.21898322,-0.9132431,0.46564776,2
-1.1157309,0.08112471,-0.4417709,-0.25917286,-0.0043641366,-1.1368163,-1.0167193,2
0.16375163,0.7034366,-0.16090801,-0.48627555,0.011462403,-0.34888387,-0.6722793,2
-1.1496015,1.200329,0.05587022,-0.4328677,0.52101797,0.4941486,-3.0925465,2
0.40085465,0.08855093,-0.3205427,0.07314294,0.0973043,0.6515048,0.776715,1
0.72612566,-2.7978857,-2.0241115,-1.881767,-0.6103251,-3.3140228,-0.88804555,3
0.32768708,-0.29119128,-0.9092374,-0.48943782,-0.30120152,0.21652818,-2.1314845,2
1.2963234,-2.1365821,-0.5976763,-0.73168576,-0.45165548,-1.9457613,-1.2476963,5
0.40107247,-1.7183297,-1.9952464,-0.9573249,0.57270926,1.7379048,-1.2555661,4
0.9473425,-0.115062214,-2.3065195,-0.14004943,0.16401851,-1.2116491,1.8947768,1
1.0062213,-0.10625206,-0.7297705,-0.7296152,1.417716,-1.1950588,-0.5220757,1
0.09691836,-0.56974995,-0.47530305,-0.17340398,0.28233245,0.24793646,-0.6442282,3
0.4004978,-0.101827905,0.21537049,0.76613367,1.5579737,-1.6592844,1.783619,2
1.0417441,0.073011704,-1.925235,-0.8210275,0.29721114,-0.64194494,0.9738632,3
2.99819,0.31916693,-2.3900182,3.0365083,-1.1822253,1.3179983,-0.7761335,1
1.2649268,-0.3911216,0.62925446,-0.29371873,1.2109767,-0.30006126,0.82814056,2
-0.26709077,0.39336383,-0.4648785,0.55307186,-0.74372697,-0.55771327,-1.6106803,4
1.7853739,-1.4604118,-1.4804056,0.41131827,-1.4025582,2.1626012,-0.0573916,2
1.2127655,-0.5071998,-2.428479,1.7638254,1.1504918,1.9075987,2.2295527,1
-0.9309609,-1.3217808,0.003077373,-1.1868824,0.01349956,0.7706033,2.8582134,1
-1.1174585,-0.95577574,-0.4995154,-0.8648221,0.30434856,0.17141508,0.05252829,2
-0.87316173,1.066076,1.1669118,-0.51624066,0.39486587,-2.2098744,-1.765439,2
-0.7877405,-0.9228496,0.3776024,-0.10877348,0.80042,-0.07756124,-0.57592356,2
0.3393451,0.97145647,1.658015,0.2298325,2.101288,-1.7108028,0.8350281,1
-0.439692,-1.3872159,0.0021952838,0.48190016,0.37659174,1.368455,1.0377599,1
-1.6558523,0.261596,-0.26589376,-0.23941866,0.21771958,0.33227164,-0.1511697,2
-0.5656349,-1.8666017,-2.8784657,-1.6368576,0.31550023,-1.5362971,-0.25168887,4
0.1306682,-0.4969902,-1.4590819,-0.0862787,0.4332082,-0.20243417,-0.3066895,2
-0.36935836,1.0353943,0.7092597,1.1851523,0.47539273,-0.20104495,0.19148377,1
-1.1931808,1.1234692,-0.7377372,-2.3059313,0.10323492,-0.18130285,0.32806844,1
1.8952557,-1.0112262,0.8107447,0.2768723,1.2842703,-1.8916119,-1.4164194,2
0.8619446,-1.3388412,-2.4486306,-0.071081005,0.5888719,-0.30149803,1.4606886,1
-0.42920673,-0.24369976,-0.08369659,-1.2263292,0.8600106,0.34047017,0.06224605,1
-0.22863954,-0.5603908,0.7935524,-1.0158807,2.4450364,-0.39442813,-1.4720855,2
-0.27785227,-1.8877443,-0.117620915,-0.77939755,-0.17136192,1.1135521,-0.7800887,3
-0.840007,-1.0181437,-0.951002,-0.25511473,-0.27166808,0.24693963,0.8578215,2
-0.91707087,-1.7816631,-1.1763033,-2.963761,0.6577409,0.8917138,-2.4878955,4
-1.1823813,-0.622927,-0.8312491,-1.4469122,-1.1933488,-1.3315264,1.0993854,2
-0.7019963,0.4030984,1.729102,0.14347832,1.0648714,2.735959,0.82817465,1
-2.196042,0.76137906,-0.7725302,-0.16940564,-0.013662208,0.98611146,2.1261177,2
-1.3493934,1.3101854,1.972369,-2.209264,2.3678436,2.1298833,-1.5892712,1
-1.4827043,0.6567491,1.2877848,-1.744388,0.91170645,-0.25568688,0.7498193,2
-1.1015499,-0.6330126,0.5190387,-1.0938118,-0.08189985,0.24496189,0.2001593,4
-2.1541505,-0.8092539,-2.901173,-0.12534204,-0.54961437,1.5106336,-0.5131856,2
-0.65549797,0.32812843,0.7333044,0.41222787,0.23054026,1.11864,-0.4099706,2
-0.28119847,-1.370892,0.7017678,-0.54361993,0.4181165,1.8833228,-1.5468248,3
-0.42159766,0.2529263,-0.55582863,0.45456234,0.45538384,-1.7549527,1.6879687,1
0.64647955,-1.3415782,-1.9727144,-0.025847532,-0.0054033697,-0.8262972,-1.0704758,3
-1.708679,-1.5412706,0.5304276,0.26105374,0.10271159,0.46702397,-1.2367749,9
-0.93895394,1.0563661,2.026692,-0.82600904,1.736572,-0.45921436,0.45382708,1
-1.4852593,-1.5832946,-1.0269775,-0.44754362,0.49221355,1.1791431,-0.56237245,4
0.58476907,0.09656678,0.42811137,-0.0114186555,1.888982,-1.621111,1.5446254,1
0.36685175,-0.3456552,-0.4338261,1.2173913,0.30180734,1.529663,-0.28442183,4
-2.2280018,-0.10280076,-0.30206084,-0.59012526,0.38443464,0.34018117,0.31738225,1
-0.9244206,-0.30176046,-0.026653513,0.21634144,0.8417039,1.3057499,-0.045352925,2
0.2936912,-0.4788265,0.8073865,0.10302076,0.6943493,0.17183046,0.93480074,2
0.17783153,0.9344839,0.81290674,-1.6696092,0.8601118,2.4583652,-0.5556067,1
-1.3070146,1.6903303,-1.066654,-0.43940037,1.5659053,-0.6662469,0.19385172,2
-0.89122105,0.06444834,-0.31254345,-0.14870393,-0.9884089,-1.3176613,-0.5356978,2
0.61286944,-2.2616553,-0.23280586,0.18078363,-1.248785,1.2891984,-1.023968,4
0.2558561,-0.84821737,2.8599699,0.44603834,0.93871427,0.27853736,0.20425649,2
0.88879603,0.04012705,0.14710346,-0.3589395,0.24745435,-0.18071856,1.1262726,5
-0.54402184,-0.74849904,-0.77658427,-0.55061436,-1.3745078,-2.4700303,-1.4178702,5
-1.6166203,-1.3644459,0.9820837,1.1764824,0.14780264,0.045924053,-0.9000508,3
0.54710346,-2.8851514,-3.6679716,0.33972788,-1.945905,-1.8018287,-0.18861704,5
